date,country,operator,channel,pod_fill_rate,endpoint_requests,bid_requests,bid_responses,bid_wons,impressions,revenue,requested_pod_duration,filled_pod_duration,delivered_pod_duration
28-02-22,GB,Op_003,Channel_003,0.03,14,1818,1102,132,5,0.11,122,119.07,4
28-02-22,ES,Op_003,Channel_003,0.02,82,11312,506,162,8,0.14,244,80.2,4
28-02-22,FR,Op_003,Channel_003,0.03,19,2621,132,33,2,0.02,122,39.32,3.16
28-02-22,IT,Op_003,Channel_003,0.02,14,1932,83,47,1,0.01,122,85.71,2.14
28-02-22,DE,Op_003,Channel_003,0,1,139,13,5,0,0,122,122,0
01-03-22,ES,Op_003,Channel_003,0.09,87,12003,651,243,45,0.81,366,173.79,31.86
01-03-22,GB,Op_003,Channel_003,0.04,22,2856,934,128,6,0.12,244,239.1,9.1
01-03-22,FR,Op_003,Channel_003,0.02,36,4959,207,45,3,0.03,366,111,7.5
01-03-22,IT,Op_003,Channel_003,0,46,6340,0,0,0,0,244,0,0
02-03-22,ES,Op_003,Channel_003,0.04,57,7860,675,279,15,0.27,366,295.41,16.11
02-03-22,GB,Op_003,Channel_003,0.03,26,3378,1146,114,4,0.06,244,231.54,7.7
02-03-22,FR,Op_003,Channel_003,0,52,7160,82,28,0,0,244,16.16,0
02-03-22,IT,Op_003,Channel_003,0,6,825,24,15,0,0,366,180,0
02-03-22,DE,Op_003,Channel_003,0,9,1251,21,18,0,0,366,105,0
03-03-22,ES,Op_003,Channel_003,0.07,87,10635,900,306,36,0.63,366,219.09,25.65
03-03-22,IT,Op_003,Channel_003,0.02,42,5770,100,72,6,0.1,244,70,5.72
03-03-22,GB,Op_003,Channel_003,0.04,7,909,288,26,1,0.02,122,108.57,4.29
03-03-22,FR,Op_003,Channel_003,0.01,28,3858,6,6,2,0.02,244,10.72,3.58
03-03-22,CH,Op_003,Channel_003,0,3,363,45,3,0,0,366,60,0
04-03-22,ES,Op_003,Channel_003,0.07,39,4441,334,103,16,0.29,122,54.62,8.36
